text ,domain,name ,kind ,model
"scale, and in the evening the Officers were entertained at the White Hart by the Colonel and",CollegeEssay_real_106,Real College Essays,Human-Written,Human
Major Fowler.,CollegeEssay_real_107,Real College Essays,Human-Written,Human
,CollegeEssay_real_108,Real College Essays,Human-Written,Human
"In a later round of the Divisional Cup Competition, we beat the Divisional Mechanical Transport",CollegeEssay_real_109,Real College Essays,Human-Written,Human
"Column 3--0, and got into the semi-final, when, however, we were badly beaten by the 4th Leicesters",CollegeEssay_real_110,Real College Essays,Human-Written,Human
"at Bishop's Stortford, by 3 goals to nil. In a Brigade paper chase which was held on December",CollegeEssay_real_111,Real College Essays,Human-Written,Human
"26th, Pvte. Allen of E Company came in first.",CollegeEssay_real_112,Real College Essays,Human-Written,Human
,CollegeEssay_real_113,Real College Essays,Human-Written,Human
"On December 28th, we returned to Luton by train to carry out final firing practices at the",CollegeEssay_real_114,Real College Essays,Human-Written,Human
"Wardown and Galley Hill Ranges, and field firing practice at Dunstable in appalling weather,",CollegeEssay_real_115,Real College Essays,Human-Written,Human
"when frost, snow and rain made accurate shooting perfectly impossible, and we were glad indeed",CollegeEssay_real_116,Real College Essays,Human-Written,Human
"to get back to Bocking on January 6th, 1915.",CollegeEssay_real_117,Real College Essays,Human-Written,Human
,CollegeEssay_real_118,Real College Essays,Human-Written,Human
"The rest of our time was spent in final training, mainly carried out at Gosfield Park and Abbot's",CollegeEssay_real_119,Real College Essays,Human-Written,Human
"Hall, and in preparations for going out, in which the inspection and completion of equipment",CollegeEssay_real_120,Real College Essays,Human-Written,Human
of all kinds played a prominent part. This was not too easy a job for the young Company or,CollegeEssay_real_121,Real College Essays,Human-Written,Human
"Section Commanders, as the men by this time were up to all the ""old soldier"" tricks, and were",CollegeEssay_real_122,Real College Essays,Human-Written,Human
very clever at making one article appear almost simultaneously in half-a-dozen different kits.,CollegeEssay_real_123,Real College Essays,Human-Written,Human
Drill included a certain amount of new bayonet fighting and other exercises under Major A.,CollegeEssay_real_124,Real College Essays,Human-Written,Human
"C. Clarke, who had attended a course at Chelsea. Mules arrived in January and were objects",CollegeEssay_real_125,Real College Essays,Human-Written,Human
of much interest; our miscellaneous transport vehicles were discarded and replaced by new ordnance,CollegeEssay_real_126,Real College Essays,Human-Written,Human
"pattern issues, to which were added two Lune Valley Cookers, kindly presented by the ladies",CollegeEssay_real_127,Real College Essays,Human-Written,Human
of Nottinghamshire. At the end of January the Battalion had to be completely reorganised in,CollegeEssay_real_128,Real College Essays,Human-Written,Human
"order to come into line with the regular Battalions: the old 8-Company system was abolished,",CollegeEssay_real_129,Real College Essays,Human-Written,Human
"and the 1914 Double Company organisation introduced, entailing an immense amount of work and",CollegeEssay_real_130,Real College Essays,Human-Written,Human
keeping us busy right up to the time of our departure. The situation was not helped by the,CollegeEssay_real_131,Real College Essays,Human-Written,Human
"absence of Major Fowler with eight Subalterns and 407 recruits, who were away carrying out",CollegeEssay_real_132,Real College Essays,Human-Written,Human
musketry classification practices at Luton from February 3rd to 20th.,CollegeEssay_real_133,Real College Essays,Human-Written,Human
,CollegeEssay_real_134,Real College Essays,Human-Written,Human
"Our chief relaxation at Bocking in the early part of 1915 was night searching for elusive spies,",CollegeEssay_real_135,Real College Essays,Human-Written,Human
who were supposed to carry on lamp signalling; more often than not when these were tracked,CollegeEssay_real_136,Real College Essays,Human-Written,Human
down they turned out to be innocent stable guards doing their nightly rounds. At other times,CollegeEssay_real_137,Real College Essays,Human-Written,Human
"we picketed the roads to hold up motor cars which were supposed to be acting as guides to Zeppelins,",CollegeEssay_real_138,Real College Essays,Human-Written,Human
but it is doubtful whether either of these occupations did a great deal towards bringing about,CollegeEssay_real_139,Real College Essays,Human-Written,Human
the more rapid conclusion of the war.,CollegeEssay_real_140,Real College Essays,Human-Written,Human
,CollegeEssay_real_141,Real College Essays,Human-Written,Human
One also remembers the excitement caused by the first Boche aeroplane dropping bombs within,CollegeEssay_real_142,Real College Essays,Human-Written,Human
"a mile of the village, which we, of course, imagined had been dropped for our especial benefit.",CollegeEssay_real_143,Real College Essays,Human-Written,Human
"One of the Scouts secured a ""dud,"" which was the object of much interest to everyone, up to",CollegeEssay_real_144,Real College Essays,Human-Written,Human
the Divisional Commander.,CollegeEssay_real_145,Real College Essays,Human-Written,Human
,CollegeEssay_real_146,Real College Essays,Human-Written,Human
It was about this time that the first distinguishing patches were allotted to Battalions. Our,CollegeEssay_real_147,Real College Essays,Human-Written,Human
"first was a square green patch worn behind the cap badge, undoubtedly very smart, and the envy",CollegeEssay_real_148,Real College Essays,Human-Written,Human
of the other Battalions in the Brigade. When we got to France the Officers of the Battalion,CollegeEssay_real_149,Real College Essays,Human-Written,Human
"had to wear two short vertical green stripes at the top of the back of the jacket, to enable",CollegeEssay_real_150,Real College Essays,Human-Written,Human
"them to be picked out from behind, as all ranks were more or less similarly dressed and Officers'",CollegeEssay_real_151,Real College Essays,Human-Written,Human
"swords were discarded. Later still these marks were worn by all ranks in the Battalion, and",CollegeEssay_real_152,Real College Essays,Human-Written,Human
the practice was continued up to the end of the war.,CollegeEssay_real_153,Real College Essays,Human-Written,Human
,CollegeEssay_real_154,Real College Essays,Human-Written,Human
"On February 15th, confidential orders were received that we were to proceed abroad at a very",CollegeEssay_real_155,Real College Essays,Human-Written,Human
"early date. Final preparations were put in hand, equipment, stores and clothing were issued",CollegeEssay_real_156,Real College Essays,Human-Written,Human
"to complete, and everything was made ready for a move.",CollegeEssay_real_157,Real College Essays,Human-Written,Human
,CollegeEssay_real_158,Real College Essays,Human-Written,Human
"On February 16th, Col. Huskinson received notice of his appointment as Commander of Base Details",CollegeEssay_real_159,Real College Essays,Human-Written,Human
on Lines of Communication with Capt. G. Clarke as his Adjutant. Col. Huskinson had been to,CollegeEssay_real_160,Real College Essays,Human-Written,Human
a great extent responsible for the recruiting of the Battalion to full strength before the,CollegeEssay_real_161,Real College Essays,Human-Written,Human
"war, and his keenness and enthusiasm throughout the difficult times of reorganisation and training",CollegeEssay_real_162,Real College Essays,Human-Written,Human
"during these first six months of the war, contributed largely to the high standard of morale",CollegeEssay_real_163,Real College Essays,Human-Written,Human
"and general efficiency reached in England. One and all were sorry to lose him, but we were",CollegeEssay_real_164,Real College Essays,Human-Written,Human
glad indeed to find that Major Fowler was to succeed him in Command of the Battalion.,CollegeEssay_real_165,Real College Essays,Human-Written,Human
,CollegeEssay_real_166,Real College Essays,Human-Written,Human
"On February 19th, we had the honour of being inspected with the rest of the Division by H.M.",CollegeEssay_real_167,Real College Essays,Human-Written,Human
"the King, at Hallingbury Place, near Bishop's Stortford.",CollegeEssay_real_168,Real College Essays,Human-Written,Human
,CollegeEssay_real_169,Real College Essays,Human-Written,Human
"Into the last few days was crowded an immense amount of work, for the final arrangements never",CollegeEssay_real_170,Real College Essays,Human-Written,Human
"seemed to finish, and changes took place right up to the last. We were made up to establishment",CollegeEssay_real_171,Real College Essays,Human-Written,Human
"in Officers by the arrival of Lieuts. G. S. Heathcote and F. B. Lawson, and 2nd Lieuts. C.",CollegeEssay_real_172,Real College Essays,Human-Written,Human
"L. Hill and T. H. F. Adams, whilst large reinforcements from the 2/8th Battalion on February",CollegeEssay_real_173,Real College Essays,Human-Written,Human
"22nd, brought us up to full strength, and when we left Bocking on February 25th, we were 31",CollegeEssay_real_174,Real College Essays,Human-Written,Human
Officers and 996 other ranks. Second Lieut. R. E. Hemingway was left behind with 100 men as,CollegeEssay_real_175,Real College Essays,Human-Written,Human
"the First Reinforcement, and the Orderly Room was handed over to the care of Col.-Sergt. Instructor",CollegeEssay_real_176,Real College Essays,Human-Written,Human
"F. Kieran. We left by two trains at 7.50 and 9.15 a.m., and by 4.0 p.m. had all detrained at",CollegeEssay_real_177,Real College Essays,Human-Written,Human
Southampton Docks.,CollegeEssay_real_178,Real College Essays,Human-Written,Human
,CollegeEssay_real_179,Real College Essays,Human-Written,Human
"On the whole the Battalion was well equipped, and physically everyone was fit. The chief drawback",CollegeEssay_real_180,Real College Essays,Human-Written,Human
appeared to be that we had rather a large percentage of young and inexperienced Officers and,CollegeEssay_real_181,Real College Essays,Human-Written,Human
"N.C.O.'s, but as all had much to learn of the kind of warfare actually going on, this was no",CollegeEssay_real_182,Real College Essays,Human-Written,Human
"great disadvantage. With so many late additions and the very recent reorganisation, few Commanders",CollegeEssay_real_183,Real College Essays,Human-Written,Human
had had the opportunity of getting to know their men. So far as training was concerned we had,CollegeEssay_real_184,Real College Essays,Human-Written,Human
"covered in a way the whole of what the books had to say, and were fairly well acquainted with",CollegeEssay_real_185,Real College Essays,Human-Written,Human
"ordinary methods of fighting. There was a tendency towards staleness at the moment, and it",CollegeEssay_real_186,Real College Essays,Human-Written,Human
is doubtful whether prolongation of our training in England would have been beneficial. We,CollegeEssay_real_187,Real College Essays,Human-Written,Human
"felt somewhat ignorant of many practical points affecting trench warfare, into which the fighting",CollegeEssay_real_188,Real College Essays,Human-Written,Human
"on most of the Western front had degenerated, and though we had received useful hints from",CollegeEssay_real_189,Real College Essays,Human-Written,Human
"Major Hume, who had been out, we yet had a great deal to learn; this we did in France, in the",CollegeEssay_real_190,Real College Essays,Human-Written,Human
"hard school of bitter experience. Whatever our shortcomings, we felt proud indeed to belong",CollegeEssay_real_191,Real College Essays,Human-Written,Human
to the first complete Territorial Division to embark for France.,CollegeEssay_real_192,Real College Essays,Human-Written,Human
,CollegeEssay_real_193,Real College Essays,Human-Written,Human
"As soon as the detrainment was completed, we proceeded on board the ""Mount Temple,"" with certain",CollegeEssay_real_194,Real College Essays,Human-Written,Human
"Royal Field Artillery Details, the ship being under the command of Major Kent, R.F.A. At 6.30",CollegeEssay_real_195,Real College Essays,Human-Written,Human
"p.m. we dropped down to Netley, imagining we were off, instead of which we anchored there for",CollegeEssay_real_196,Real College Essays,Human-Written,Human
"the night. The greater part of the next day, February 26th, was spent on board in physical",CollegeEssay_real_197,Real College Essays,Human-Written,Human
"and other exercises and inspections. Late in the afternoon, much to our surprise, orders were",CollegeEssay_real_198,Real College Essays,Human-Written,Human
"received that 21 Officers and 763 other ranks were to disembark, presumably because it was",CollegeEssay_real_199,Real College Essays,Human-Written,Human
"not desirable for so many troops to cross on a slow going boat like the ""Mount Temple."" Having",CollegeEssay_real_200,Real College Essays,Human-Written,Human
"left on board Major Clarke, Capt. Ashwell, and Lieut. Heathcote with two-and-a-half platoons",CollegeEssay_real_201,Real College Essays,Human-Written,Human
"of A Company, and Capts. Hodgkinson and Davenport with the Signal, Transport and Machine-Gun",CollegeEssay_real_202,Real College Essays,Human-Written,Human
"Sections, the remainder of us disembarked about 6.30 p.m., and proceeded to a Rest Camp about",CollegeEssay_real_203,Real College Essays,Human-Written,Human
"three miles outside Southampton. It was very disappointing to be split up, but there was nothing",CollegeEssay_real_204,Real College Essays,Human-Written,Human
to be done but to make the best of it. We cannot say that our two days' stay at the Rest Camp,CollegeEssay_real_205,Real College Essays,Human-Written,Human
"was exactly enjoyable, for the camp was uncomfortable, and no passes were allowed to the town.",CollegeEssay_real_206,Real College Essays,Human-Written,Human
"We therefore fully appreciated the kindness of the ladies of the St. John Ambulance Association,",CollegeEssay_real_207,Real College Essays,Human-Written,Human
"who had huts near the camp, and gave us most excellent meals.",CollegeEssay_real_208,Real College Essays,Human-Written,Human
,CollegeEssay_real_209,Real College Essays,Human-Written,Human
"On February 28th, a further contingent of 101 men under Captain Becher embarked on the ""Caledonian,""",CollegeEssay_real_210,Real College Essays,Human-Written,Human
"and later in the day the rest of us went on board a small Clyde pleasure steamer, the ""King",CollegeEssay_real_211,Real College Essays,Human-Written,Human
"Edward,"" where we were crowded beyond description. Neither party sailed, however, that day,",CollegeEssay_real_212,Real College Essays,Human-Written,Human
"and we spent the night on board. The next day those on the ""King Edward"" had to disembark once",CollegeEssay_real_213,Real College Essays,Human-Written,Human
"again! This took place early in the morning, and after a little wandering we ultimately obtained",CollegeEssay_real_214,Real College Essays,Human-Written,Human
"billets for the Officers at the Central Hotel, and for the men at the Watt Memorial Hall.",CollegeEssay_real_215,Real College Essays,Human-Written,Human
,CollegeEssay_real_216,Real College Essays,Human-Written,Human
"In the end we embarked on the ""King Edward"" on the afternoon of March 2nd, and sailed the same",CollegeEssay_real_217,Real College Essays,Human-Written,Human
night. There was so much to interest everyone until we got out to sea that we had little time,CollegeEssay_real_218,Real College Essays,Human-Written,Human
in which to indulge sentimental feelings. That gliding down Southampton Water in silence broken,CollegeEssay_real_219,Real College Essays,Human-Written,Human
"only by the throbbing of the engines, with lights out, sentries posted, and in some cases Machine-Guns",CollegeEssay_real_220,Real College Essays,Human-Written,Human
"mounted, the sudden appearance out of the darkness from somewhere off the Isle of Wight of",CollegeEssay_real_221,Real College Essays,Human-Written,Human
"a destroyer to pilot us across the Channel, the challenge to the ship as to who we were, and",CollegeEssay_real_222,Real College Essays,Human-Written,Human
"the order to ""carry on,"" the numberless rays of searchlights sweeping around on all sides--such",CollegeEssay_real_223,Real College Essays,Human-Written,Human
"was the start of our great expedition, precisely the same, no doubt, as that of most other",CollegeEssay_real_224,Real College Essays,Human-Written,Human
troops who crossed during the war.,CollegeEssay_real_225,Real College Essays,Human-Written,Human
,CollegeEssay_real_226,Real College Essays,Human-Written,Human
"We had an excellent crossing and anchored off Havre early the following morning, disembarking",CollegeEssay_real_227,Real College Essays,Human-Written,Human
"about 7.30 a.m. The morning was spent amongst the hangars at the docks, drawing sheep-skin",CollegeEssay_real_228,Real College Essays,Human-Written,Human
coats and other equipment. Here we were met by Major Clarke who reported that Capt. Ashwell,CollegeEssay_real_229,Real College Essays,Human-Written,Human
"with two platoons had already proceeded up country, and that they had all had a very uncomfortable",CollegeEssay_real_230,Real College Essays,Human-Written,Human
"time at Havre, sleeping in trucks or wherever they could. They had been joined by M. Lacolle,",CollegeEssay_real_231,Real College Essays,Human-Written,Human
who was to be attached to the Battalion as Interpreter. After dinner we marched down to our,CollegeEssay_real_232,Real College Essays,Human-Written,Human
"entraining point, and were able to entrain more or less at leisure during the afternoon--our",CollegeEssay_real_233,Real College Essays,Human-Written,Human
"first experience of a French Troop train. Later on we got accustomed to their ideas, but certainly",CollegeEssay_real_234,Real College Essays,Human-Written,Human
"for the men, and often for Officers too, the French way is not quite in accordance with our",CollegeEssay_real_235,Real College Essays,Human-Written,Human
"own ideas, and we must confess it went very much against the grain to have to crowd 36 to 40",CollegeEssay_real_236,Real College Essays,Human-Written,Human
"men in nothing more or less than a cattle truck. ""Hommes 40: Chevaux 8,"" may be all right for",CollegeEssay_real_237,Real College Essays,Human-Written,Human
"the ""Chevaux,"" but for the ""Hommes"" we consider a revised number is required.",CollegeEssay_real_238,Real College Essays,Human-Written,Human
,CollegeEssay_real_239,Real College Essays,Human-Written,Human
"During these first few hours spent at Havre we learnt to appreciate the Y.M.C.A. huts, which",CollegeEssay_real_240,Real College Essays,Human-Written,Human
"supplied much excellent refreshment, and the Officers will certainly not forget the delicious",CollegeEssay_real_241,Real College Essays,Human-Written,Human
tea and cakes so generously provided by Mrs. Pitt.,CollegeEssay_real_242,Real College Essays,Human-Written,Human
,CollegeEssay_real_243,Real College Essays,Human-Written,Human
"We left for the North at 5.15 p.m. At Rouen a halt was made for the engine to take in water,",CollegeEssay_real_244,Real College Essays,Human-Written,Human
"and ourselves coffee and rum. The taste of the latter was new to most of us, but we liked it",CollegeEssay_real_245,Real College Essays,Human-Written,Human
well enough to hope that we might make its acquaintance again. Early in the morning of March,CollegeEssay_real_246,Real College Essays,Human-Written,Human
"4th, we had a short ""halte repas"" at Abbeville for breakfast, and continuing via Calais and",CollegeEssay_real_247,Real College Essays,Human-Written,Human
"St. Omer we eventually, about 1 p.m., after a 20 hours journey, detrained at Cassel, which",CollegeEssay_real_248,Real College Essays,Human-Written,Human
"if tradition does not lie, was the happy hunting ground of the good old Duke of York, who",CollegeEssay_real_249,Real College Essays,Human-Written,Human
,CollegeEssay_real_250,Real College Essays,Human-Written,Human
"  ""Had ten thousand men,",CollegeEssay_real_251,Real College Essays,Human-Written,Human
"  He marched 'em up to the top of the hill,",CollegeEssay_real_252,Real College Essays,Human-Written,Human
"  And he marched 'em down again.""",CollegeEssay_real_253,Real College Essays,Human-Written,Human
,CollegeEssay_real_254,Real College Essays,Human-Written,Human
"If the English Tommy of those days was anything like the modern ""Old Bill"" he probably had",CollegeEssay_real_255,Real College Essays,Human-Written,Human
"something pointed to say about the Hill of Cassel, and was equally unappreciative of the magnificent",CollegeEssay_real_256,Real College Essays,Human-Written,Human
view one got from its summit!,CollegeEssay_real_257,Real College Essays,Human-Written,Human
,CollegeEssay_real_258,Real College Essays,Human-Written,Human
"Capt. Ashwell met us at the Station and acted as our guide to the little village of Oudezeele,",CollegeEssay_real_259,Real College Essays,Human-Written,Human
which we reached about 5 o'clock after a trying seven miles' march. The men were tired after,CollegeEssay_real_260,Real College Essays,Human-Written,Human
"their long, cramped journey; many wore new boots, whilst all were weighed down with enormous",CollegeEssay_real_261,Real College Essays,Human-Written,Human
"packs, which had been added to by the newly drawn sheep-skin coats. It was not surprising that",CollegeEssay_real_262,Real College Essays,Human-Written,Human
"under such conditions many fell out, and that most of us were thoroughly weary by the time",CollegeEssay_real_263,Real College Essays,Human-Written,Human
"we reached our destination. Ashwell and his party too, had not had a pleasant time. Strangers",CollegeEssay_real_264,Real College Essays,Human-Written,Human
"in a strange land without Battalion, Brigade or Divisional Headquarters--or any of the other",CollegeEssay_real_265,Real College Essays,Human-Written,Human
luxuries which make life worth living--they had found existence rather precarious. Ashwell,CollegeEssay_real_266,Real College Essays,Human-Written,Human
"himself had walked 45 miles in three days in search of rations, so that our arrival with the",CollegeEssay_real_267,Real College Essays,Human-Written,Human
transport was more than welcome.,CollegeEssay_real_268,Real College Essays,Human-Written,Human
,CollegeEssay_real_269,Real College Essays,Human-Written,Human
We found our billets rather strange after the houses and cottages to which we had become accustomed,CollegeEssay_real_270,Real College Essays,Human-Written,Human
"in England, as they consisted mostly of scattered farms, several platoons and sometimes a whole",CollegeEssay_real_271,Real College Essays,Human-Written,Human
"Company or more being billeted at one farm, generally in barns.",CollegeEssay_real_272,Real College Essays,Human-Written,Human
,CollegeEssay_real_273,Real College Essays,Human-Written,Human
"Capt. Becher and his party arrived late the following day, having been kept three days on the",CollegeEssay_real_274,Real College Essays,Human-Written,Human
"Caledonian, and the Battalion was once more complete. As the rest of the Brigade had crossed",CollegeEssay_real_275,Real College Essays,Human-Written,Human
"before us and had already gone up for trench instruction, we were temporarily attached to the",CollegeEssay_real_276,Real College Essays,Human-Written,Human
Lincoln and Leicester Brigade.,CollegeEssay_real_277,Real College Essays,Human-Written,Human
,CollegeEssay_real_278,Real College Essays,Human-Written,Human
"We spent a few days training at Oudezeele, including one or two route marches to get accustomed",CollegeEssay_real_279,Real College Essays,Human-Written,Human
"to the pav?? roads, and Edge, as newly appointed Sniping Officer, gave a little special instruction",CollegeEssay_real_280,Real College Essays,Human-Written,Human
"in that branch of warfare. We had a visit from Major-General Stuart-Wortley, who discussed",CollegeEssay_real_281,Real College Essays,Human-Written,Human
"the training to be carried out, and our coming duties in the trenches. The weather was very",CollegeEssay_real_282,Real College Essays,Human-Written,Human
"cold, and a good deal of work was in the shape of lectures in billets, and the reading of various",CollegeEssay_real_283,Real College Essays,Human-Written,Human
routine and other orders issued to troops on arrival.,CollegeEssay_real_284,Real College Essays,Human-Written,Human
,CollegeEssay_real_285,Real College Essays,Human-Written,Human
"It was during one of our route marches in this district, which took us through the little village",CollegeEssay_real_286,Real College Essays,Human-Written,Human
"of Wormhoudt, that we made our first acquaintance with French troops. Many of them were back",CollegeEssay_real_287,Real College Essays,Human-Written,Human
"resting in billets, and the warm welcome they gave us as we passed through the narrow streets",CollegeEssay_real_288,Real College Essays,Human-Written,Human
"of the village crowded with French ""poilus,"" the whole Battalion whistling the ""Marseillaise,""",CollegeEssay_real_289,Real College Essays,Human-Written,Human
was an experience which will not be readily forgotten.,CollegeEssay_real_290,Real College Essays,Human-Written,Human
,CollegeEssay_real_291,Real College Essays,Human-Written,Human
"On March 9th, we marched with the Lincoln and Leicester Brigade via Cassel, Caestre (where",CollegeEssay_real_292,Real College Essays,Human-Written,Human
"General Smith-Dorrien saw us march past), and Strazeele to Merris, where we joined up with",CollegeEssay_real_293,Real College Essays,Human-Written,Human
"the rest of our Brigade, back from their course of instruction in the trenches. Fortunately",CollegeEssay_real_294,Real College Essays,Human-Written,Human
the fur coats which had caused us so much trouble on the last march were now carried for us,CollegeEssay_real_295,Real College Essays,Human-Written,Human
"by motor 'bus. At Merris we saw our first real signs of fighting, both the Church and the Hospice",CollegeEssay_real_296,Real College Essays,Human-Written,Human
"having been hit several times by shells, whilst there were isolated graves of both French and",CollegeEssay_real_297,Real College Essays,Human-Written,Human
"English scattered about the surrounding country. Here too, we saw our first ""fighting"" aeroplane",CollegeEssay_real_298,Real College Essays,Human-Written,Human
"(armed with one short French Rifle), which had crashed just outside the village. It was also",CollegeEssay_real_299,Real College Essays,Human-Written,Human
"at Merris that we had our first experience of paying a Company ""in the Field."" Instructions",CollegeEssay_real_300,Real College Essays,Human-Written,Human
"on the subject had led us to believe that this was a complicated performance, but in practice",CollegeEssay_real_301,Real College Essays,Human-Written,Human
"it turned out to be quite easy. Company ""Imprests"" were at a later date done away with and",CollegeEssay_real_302,Real College Essays,Human-Written,Human
"a Battalion Imprest instituted, which was much more convenient, as also was the very handy",CollegeEssay_real_303,Real College Essays,Human-Written,Human
"Officer's Advance Book, which was introduced later. At first there seemed but little check",CollegeEssay_real_304,Real College Essays,Human-Written,Human
"on the money that was drawn, and Field Cashiers appeared to issue money to all and sundry on",CollegeEssay_real_305,Real College Essays,Human-Written,Human
the flimsiest authority.,CollegeEssay_real_306,Real College Essays,Human-Written,Human
,CollegeEssay_real_307,Real College Essays,Human-Written,Human
"Preparations were being made about this time for a British offensive at Neuve Chapelle, and",CollegeEssay_real_308,Real College Essays,Human-Written,Human
"our Brigade was attached temporarily to General Gough's 2nd Cavalry Division, with the object,",CollegeEssay_real_309,Real College Essays,Human-Written,Human
"if the attack succeeded, of breaking through in the region of the Bois du Biez. In order to",CollegeEssay_real_310,Real College Essays,Human-Written,Human
be nearer the scene of operations we were moved from Merris at an hour's notice at noon on,CollegeEssay_real_311,Real College Essays,Human-Written,Human
"March 10th, and marched via Rouge Croix to Bac-St. Maur. This was a memorable experience, but",CollegeEssay_real_312,Real College Essays,Human-Written,Human
"later on we became accustomed to rapid movement, and the great concentration of troops which",CollegeEssay_real_313,Real College Essays,Human-Written,Human
"was necessary when fighting was imminent. Transport marched brigaded, and in passing through",CollegeEssay_real_314,Real College Essays,Human-Written,Human
Sailly-sur-Lys in the darkness seemed to be so mixed up in the seething mass of men that we,CollegeEssay_real_315,Real College Essays,Human-Written,Human
almost began to doubt if they would ever extricate themselves. Under the guiding hand and voice,CollegeEssay_real_316,Real College Essays,Human-Written,Human
"of Capt. Davenport, however, our Transport eventually got clear. During this operation ""Davvy""",CollegeEssay_real_317,Real College Essays,Human-Written,Human
"evidently made a great impression on one soldier (a Regular), by his forcible language, as",CollegeEssay_real_318,Real College Essays,Human-Written,Human
"the latter was heard to remark ""There's a bloke what knows 'is job."" Confusion was great in",CollegeEssay_real_319,Real College Essays,Human-Written,Human
"Bac-St. Maur too, for when we got there, the billets which we had been allotted were still",CollegeEssay_real_320,Real College Essays,Human-Written,Human
"occupied by Canadians. Eventually, we all got shelter of a kind, in probably the dirtiest and",CollegeEssay_real_321,Real College Essays,Human-Written,Human
poorest billets we ever had either in France or Belgium. This was our first meeting with our,CollegeEssay_real_322,Real College Essays,Human-Written,Human
